nickname,score,time_last_submission
pwnthem0le,4378,Thu Sep 08 2022 17:46:44 GMT+0000 (Coordinated Universal Time)
z3r0.team,3882,Thu Sep 08 2022 17:31:49 GMT+0000 (Coordinated Universal Time)
ABH,3378,Thu Sep 08 2022 17:09:14 GMT+0000 (Coordinated Universal Time)
TeamPortugal,2882,Thu Sep 08 2022 16:17:50 GMT+0000 (Coordinated Universal Time)
hxp,2879,Thu Sep 08 2022 16:41:18 GMT+0000 (Coordinated Universal Time)
m0unt41n,2383,Thu Sep 08 2022 12:49:51 GMT+0000 (Coordinated Universal Time)
...,2378,Thu Sep 08 2022 00:26:44 GMT+0000 (Coordinated Universal Time)
ECSC_Team_France,1883,Thu Sep 08 2022 16:46:22 GMT+0000 (Coordinated Universal Time)
EVERYTHING,1882,Thu Sep 08 2022 04:08:01 GMT+0000 (Coordinated Universal Time)
Lilac,1879,Thu Sep 08 2022 09:59:01 GMT+0000 (Coordinated Universal Time)
BeautifulSSSUP,1878,Thu Sep 08 2022 16:11:33 GMT+0000 (Coordinated Universal Time)
MadrHacks,1878,Thu Sep 08 2022 17:22:39 GMT+0000 (Coordinated Universal Time)
USTC-NEBULA,1500,Thu Sep 08 2022 14:43:16 GMT+0000 (Coordinated Universal Time)
fibonhack,1412,Thu Sep 08 2022 11:02:48 GMT+0000 (Coordinated Universal Time)
TnomiPho,1411,Thu Sep 08 2022 15:28:47 GMT+0000 (Coordinated Universal Time)
SocialEngineeringExperts,1408,Wed Sep 07 2022 23:25:03 GMT+0000 (Coordinated Universal Time)
TeamOceania,1408,Thu Sep 08 2022 12:31:00 GMT+0000 (Coordinated Universal Time)
0xFE,1408,Thu Sep 08 2022 14:14:31 GMT+0000 (Coordinated Universal Time)
TAT,1408,Thu Sep 08 2022 15:19:11 GMT+0000 (Coordinated Universal Time)
CTFY,1383,Thu Sep 08 2022 12:07:30 GMT+0000 (Coordinated Universal Time)
pianka,1383,Thu Sep 08 2022 13:37:50 GMT+0000 (Coordinated Universal Time)
coffin,1383,Thu Sep 08 2022 13:45:53 GMT+0000 (Coordinated Universal Time)
team.caca,1383,Thu Sep 08 2022 14:21:01 GMT+0000 (Coordinated Universal Time)
Austriaaaaaaaaaaa,1383,Thu Sep 08 2022 15:44:20 GMT+0000 (Coordinated Universal Time)
pwnthenope,1379,Thu Sep 08 2022 14:27:24 GMT+0000 (Coordinated Universal Time)
KCCorp,1379,Thu Sep 08 2022 15:43:18 GMT+0000 (Coordinated Universal Time)
idek,971,Wed Sep 07 2022 22:27:46 GMT+0000 (Coordinated Universal Time)
fantasmaformaggino,912,Wed Sep 07 2022 23:40:19 GMT+0000 (Coordinated Universal Time)
MonelloWare,912,Thu Sep 08 2022 17:44:55 GMT+0000 (Coordinated Universal Time)
V-HackaBoia,911,Thu Sep 08 2022 14:13:06 GMT+0000 (Coordinated Universal Time)
Bruh,908,Wed Sep 07 2022 22:20:39 GMT+0000 (Coordinated Universal Time)
spritzers,908,Wed Sep 07 2022 23:13:48 GMT+0000 (Coordinated Universal Time)
CSALab_Sec,908,Thu Sep 08 2022 13:22:37 GMT+0000 (Coordinated Universal Time)
grhkm-solo,908,Thu Sep 08 2022 17:27:11 GMT+0000 (Coordinated Universal Time)
ly4k,883,Wed Sep 07 2022 20:42:47 GMT+0000 (Coordinated Universal Time)
Srdnlen,883,Wed Sep 07 2022 21:30:52 GMT+0000 (Coordinated Universal Time)
Pwnzer0tt1,883,Thu Sep 08 2022 02:09:33 GMT+0000 (Coordinated Universal Time)
Nupakachi,883,Thu Sep 08 2022 03:03:41 GMT+0000 (Coordinated Universal Time)
Milano_Capitale,883,Thu Sep 08 2022 03:51:40 GMT+0000 (Coordinated Universal Time)
SH4H33N,883,Thu Sep 08 2022 08:17:48 GMT+0000 (Coordinated Universal Time)
pwnormus,883,Thu Sep 08 2022 08:22:14 GMT+0000 (Coordinated Universal Time)
RubiDiCubrik,883,Thu Sep 08 2022 09:32:49 GMT+0000 (Coordinated Universal Time)
InfoSecIITR,883,Thu Sep 08 2022 11:17:19 GMT+0000 (Coordinated Universal Time)
Hackappatoi,883,Thu Sep 08 2022 12:20:57 GMT+0000 (Coordinated Universal Time)
M0NT3C4RL0,883,Thu Sep 08 2022 13:00:18 GMT+0000 (Coordinated Universal Time)
